"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","MeDirect Equities Platform","0","Security Type Navigation","1","0","TC04 - Bonds tab navigates to correct URL","0"
"0","MeDirect Equities Platform","0","Security Detail Page — Restricted Access","1","0","TC02 - Financial data fields are locked in the Overview section","0"
"0","MeDirect Equities Platform","0","Security Type Navigation","1","0","TC01 - Default page load shows equities list","0"
"0","MeDirect Equities Platform","0","Security Detail Page — Restricted Access","1","0","TC03 - Bottom CTA prompts public users to sign up","0"
"0","MeDirect Equities Platform","0","Equities Search Functionality","1","0","TC02 - More Information link navigates to security detail page","0"
"0","MeDirect Equities Platform","0","Security Detail Page — Restricted Access","1","0","TC01 - Public users see the registration banner","0"
"0","MeDirect Equities Platform","0","Security Detail Page — Restricted Access","1","0","TC04 - Live price data is locked and back-navigation is available","0"
"0","MeDirect Equities Platform","0","Equities Search Functionality","1","0","TC01 - Search by name returns matching equity rows","0"
"0","MeDirect Equities Platform","0","Security Type Navigation","1","0","TC03 - ETFs tab navigates to correct URL","0"
"0","MeDirect Equities Platform","0","Security Type Navigation","1","0","TC02 - Funds tab navigates to correct URL","0"
"0","MeDirect Equities Platform","0","Equities Search Functionality","1","0","TC03 - Non-existent equity search returns empty list","0"
